(deployer, provides, input data)
(input data, used by, AI system)
(human, generates, human-generated content)
(human-generated content, adds to, information ecosystem)
(AI system, generates, synthetic content)
(synthetic content, adds to, information ecosystem)
(detection, distinguishes, synthetic content)
(detection, distinguishes, human-generated content)
(technical solution, enables, detection)
(marking, anonotates, synthetic content)
(tecnical solution, enables, marking)
(provider, creates, AI system)
(provider, creates, technical solution)
